Title,Price,Location,Area,Beds,Baths,Link
3 Years Installments Plan 10 Marla Brand New House For Sale In Park View City,PKR 3.2 Crore,"Park View City, Lahore",10 Marla,5,6,https://www.zameen.com/Property/lahore_park_view_city_3_years_installments_plan_10_marla_brand_new_house_for_sale_in_park_view_city-52293198-1466-1.html
3 Years Installment Plan Luxury Brand New House In Park View City Lahore,PKR 1.62 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_brand_new_house_in_park_view_city_lahore-52247295-1466-1.html
3 Years Installments Plan Brand New Luxury House For Sale In Park View City,PKR 7 Crore,"Park View City, Lahore",1 Kanal,5,6,https://www.zameen.com/Property/lahore_park_view_city_3_years_installments_plan_brand_new_luxury_house_for_sale_in_park_view_city-52325369-1466-1.html
3 Years Installments Plan 5 Marla Brand New House For Sale In Park View City,PKR 1.65 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installments_plan_5_marla_brand_new_house_for_sale_in_park_view_city-52628404-1466-1.html
3 Years Installments Plan 10 Marla Brand New House For Sale In Park View City,PKR 3.2 Crore,"Park View City, Lahore",10 Marla,5,6,https://www.zameen.com/Property/lahore_park_view_city_3_years_installments_plan_10_marla_brand_new_house_for_sale_in_park_view_city-52340662-1466-1.html
12 Marla Most Luxurious House For Sale In Lake City Block M3-A,PKR 7.15 Crore,"Lake City - Sector M-3A, Lake City",12 Marla,5,7,https://www.zameen.com/Property/lake_city_lake_city_-_sector_m-3a_12_marla_most_luxurious_house_for_sale_in_lake_city_block_m3-a-52832805-4003-1.html
3 Years Installment Plan Luxury 10 Marla Brand New House In Park View City Lahore,PKR 3.15 Crore,"Park View City, Lahore",10 Marla,5,6,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_10_marla_brand_new_house_in_park_view_city_lahore-52813113-1466-1.html
5 Marla Brand New house For Sale And Direct Meeting With Owner In Park View City Lahore.,PKR 1.8 Crore,"Park View City, Lahore",5 Marla,4,4,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_house_for_sale_and_direct_meeting_with_owner_in_park_view_city_lahore-52867506-1466-1.html
10-Marla Fully Modern Bungalow For Sale Top Location Near Dolmen Mall & Raya Fairways,PKR 4.85 Crore,"DHA Phase 6, DHA Defence",10 Marla,4,5,https://www.zameen.com/Property/dha_defence_dha_phase_6_10-marla_fully_modern_bungalow_for_sale_top_location_near_dolmen_mall_raya_fairways-52835070-1448-1.html
3 Years Installments Plan Modern Brand New House For Sale In Park View City,PKR 1.12 Crore,"Park View City, Lahore",3.5 Marla,3,4,https://www.zameen.com/Property/lahore_park_view_city_3_years_installments_plan_modern_brand_new_house_for_sale_in_park_view_city-51670636-1466-1.html
5 Marla Brand New Luxury House With Direct Owner Meeting All Original picture attached For sale in joharTown phase 2,PKR 3.3 Crore,"Johar Town Phase 2, Johar Town",5 Marla,6,6,https://www.zameen.com/Property/johar_town_johar_town_phase_2_5_marla_brand_new_luxury_house_with_direct_owner_meeting_all_original_picture_attached_for_sale_in_johartown_phase_2-52995950-3961-1.html
"1 Kanal Brand New Luxury 65 Feet Road Available For Sale In Johar Town Phase 2 Near Emporium Mall, Canal Road",PKR 10.3 Crore,"Johar Town Phase 2, Johar Town",1 Kanal,6,6,https://www.zameen.com/Property/johar_town_johar_town_phase_2_1_kanal_brand_new_luxury_65_feet_road_available_for_sale_in_johar_town_phase_2_near_emporium_mall_canal_road-52745652-3961-1.html
This Is Your Chance To Buy House In Formanites Housing Scheme OPPOSITE DHA PHASE 5,PKR 2.85 Crore,"Formanites Housing Scheme, Lahore",10 Marla,5,5,https://www.zameen.com/Property/lahore_formanites_housing_scheme_this_is_your_chance_to_buy_house_in_formanites_housing_scheme_opposite_dha_phase_5-52827350-1020-1.html
JOHAR Town 12 MARLA HOUSE FOR SALE HOT LOCTION NEAR DOCTOR Hospetal,PKR 6.35 Crore,"Johar Town, Lahore",12 Marla,7,6,https://www.zameen.com/Property/lahore_johar_town_johar_town_12_marla_house_for_sale_hot_loction_near_doctor_hospetal-52108019-93-1.html
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,PKR 3.2 Crore,"Park View City, Lahore",10 Marla,5,6,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-52982221-1466-1.html
5 Marla Used House For Sale Near Commercial Market & Hotels in Johar Town Phase 2 Block R3,PKR 3.49 Crore,"Johar Town Phase 2 - Block R3, Johar Town Phase 2",5 Marla,3,4,https://www.zameen.com/Property/johar_town_phase_2_johar_town_phase_2_-_block_r3_5_marla_used_house_for_sale_near_commercial_market_hotels_in_johar_town_phase_2_block_r3-52918072-3982-1.html
"5 Marla Brand New type Luxury House Available For Sale Prime Location Near UCP University, Emporium Mall or abdul sattar eidi road M2 Or shaukat khanum hospital",PKR 2.55 Crore,"Johar Town Phase 2 - Block R, Johar Town Phase 2",5 Marla,5,6,https://www.zameen.com/Property/johar_town_phase_2_johar_town_phase_2_-_block_r_5_marla_brand_new_type_luxury_house_available_for_sale_prime_location_near_ucp_university_emporium_mall_or_abdul_sattar_eidi_road_m2_or_shaukat_khanum_hospital-52568277-3979-1.html
10 Marla House For Sale Nashman Iqbal Phase 2 Near Valencia Town,PKR 3 Crore,"Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal",10 Marla,4,5,https://www.zameen.com/Property/nasheman_e_iqbal_nasheman-e-iqbal_phase_2_10_marla_house_for_sale_nashman_iqbal_phase_2_near_valencia_town-52852767-4071-1.html
10 Marla Beautiful House For Sale In Shaheen Block Sector B Lahore,PKR 3.95 Crore,"Bahria Town - Shaheen Block, Bahria Town - Sector B",10 Marla,5,6,https://www.zameen.com/Property/bahria_town_sector_b_bahria_town_-_shaheen_block_10_marla_beautiful_house_for_sale_in_shaheen_block_sector_b_lahore-52887551-1775-1.html
10 Marla House Single Storey,PKR 1.5 Crore,"Elite Town - Block C, Elite Town",10 Marla,3,4,https://www.zameen.com/Property/elite_town_elite_town_-_block_c_10_marla_house_single_storey-52924320-3737-1.html
3 Marla Double Story House In Alnoor Park Housing Society Main Shahzada Road Old Khana Nau Lahore,PKR 45 Lakh,"Al Noor Park Housing - Block A, Al Noor Park Housing Society",3 Marla,3,3,https://www.zameen.com/Property/al_noor_park_housing_society_al_noor_park_housing_-_block_a_3_marla_double_story_house_in_alnoor_park_housing_society_main_shahzada_road_old_khana_nau_lahore-52897846-18110-1.html
3 Marla Brand New House For Sale In Karbath Bedian Road,PKR 80 Lakh,"Karbath, Lahore",3 Marla,3,3,https://www.zameen.com/Property/lahore_karbath_3_marla_brand_new_house_for_sale_in_karbath_bedian_road-52662171-8834-1.html
1 Kanal House For Sale Phase 8 Ex Park View,PKR 13.5 Crore,"DHA Phase 8 - Ex Park View, DHA Phase 8",1 Kanal,5,5,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_-_ex_park_view_1_kanal_house_for_sale_phase_8_ex_park_view-52664590-485-1.html
KANAL HOUSE KANAL LAWN NEAR DHA RAYA IN DHA PHASE 7 LAHORE,PKR 12.5 Crore,"DHA Phase 7, DHA Defence",2 Kanal,6,6,https://www.zameen.com/Property/dha_defence_dha_phase_7_kanal_house_kanal_lawn_near_dha_raya_in_dha_phase_7_lahore-52789817-1450-1.html
22 MARLA CORNER MODREN DESIGNER HOUSE FOR SALE DHA PHASE 7,PKR 6.35 Crore,"DHA Phase 7, DHA Defence",1.1 Kanal,5,6,https://www.zameen.com/Property/dha_defence_dha_phase_7_22_marla_corner_modren_designer_house_for_sale_dha_phase_7-52839733-1450-1.html
10 Marla Exquisite Designer Elevation House For Sale In Gulmohar Block Bahira Town Lahore,PKR 2.78 Crore,"Bahria Town - Gulmohar Block, Bahria Town - Sector C",10 Marla,5,6,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_-_gulmohar_block_10_marla_exquisite_designer_elevation_house_for_sale_in_gulmohar_block_bahira_town_lahore-52996550-1785-1.html
1 Kanal Out Standing Top Quality Ultra Modern House With Basement Close To Defense Raya For Sale Very Reasonable Price,PKR 7.94 Crore,"DHA Phase 6 - Block M, DHA Phase 6",1 Kanal,5,6,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_m_1_kanal_out_standing_top_quality_ultra_modern_house_with_basement_close_to_defense_raya_for_sale_very_reasonable_price-52495611-1621-1.html
"Prime Location 1 Kanal (1 Kanal House Brand New Fully Furnished Modern House For Sale In L Block, DHA Phase 6 Lahore",PKR 8.1 Crore,"DHA Phase 6 - Block L, DHA Phase 6",1 Kanal,5,6,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_l_prime_location_1_kanal_1_kanal_house_brand_new_fully_furnished_modern_house_for_sale_in_l_block_dha_phase_6_lahore-52619134-1620-1.html
5 Marla Brand New House For Sale Direct Meeting With Owner In Parkview City Lahore,PKR 1.95 Crore,"Park View City, Lahore",5 Marla,4,4,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_house_for_sale_direct_meeting_with_owner_in_parkview_city_lahore-52991372-1466-1.html
1 Bedroom Apartment for Sale The Oasis Grand 14 in Down Town Commercials,PKR 80 Lakh,"Bahria Town - Sector E, Bahria Town",2.2 Marla,1,1,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_1_bedroom_apartment_for_sale_the_oasis_grand_14_in_down_town_commercials-51979933-1802-1.html
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,PKR 1.55 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-52812666-1466-1.html
Brand New 5 Marla House For sale In Park View City,PKR 1.65 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_brand_new_5_marla_house_for_sale_in_park_view_city-52959607-1466-1.html
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,PKR 1.55 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-52835382-1466-1.html
5 Marla Brand New A Plus Solid House For Sale And Direct Meeting With Owner In Park View City Lahore.,PKR 1.6 Crore,"Park View City, Lahore",5 Marla,4,4,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_a_plus_solid_house_for_sale_and_direct_meeting_with_owner_in_park_view_city_lahore-52872270-1466-1.html
"10 Marla Brand New Luxury House For Sale In ParkviewCity,Lahore",PKR 3.3 Crore,"Park View City, Lahore",10 Marla,5,5,https://www.zameen.com/Property/lahore_park_view_city_10_marla_brand_new_luxury_house_for_sale_in_parkviewcity_lahore-50114573-1466-1.html
2 Kanal Double Storey LDA Approved House For Sale In Chinar Bagh Housing Society Raiwind Road Lahore Demand 650 Lac,PKR 6.5 Crore,"Chinar Bagh, Lahore",2 Kanal,8,7,https://www.zameen.com/Property/lahore_chinar_bagh_2_kanal_double_storey_lda_approved_house_for_sale_in_chinar_bagh_housing_society_raiwind_road_lahore_demand_650_lac-50384994-763-1.html
ONE KANAL SOLID COSTRUCTED BUNGALOW AT 70 FEET WIDE ROAD NEAR TO PARK AND MASJID FOR SALE,PKR 9.25 Crore,"DHA Phase 5, DHA Defence",1 Kanal,5,6,https://www.zameen.com/Property/dha_defence_dha_phase_5_one_kanal_solid_costructed_bungalow_at_70_feet_wide_road_near_to_park_and_masjid_for_sale-52921085-1447-1.html
1 And 2 Bed Furnished Apartment Available on Installments,PKR 1.13 Crore,"Gulberg 3, Gulberg",4.7 Marla,2,2,https://www.zameen.com/Property/gulberg_gulberg_3_1_and_2_bed_furnished_apartment_available_on_installments-52030742-3824-1.html
5 MARLA BRAND NEW HOUSE FOR SALE JUBLIEE TOWN LAHORE,PKR 2.2 Crore,"Jubilee Town, Lahore",5 Marla,5,6,https://www.zameen.com/Property/lahore_jubilee_town_5_marla_brand_new_house_for_sale_jubliee_town_lahore-52968428-766-1.html
10 Marla House For Sale In Ghouri Block Bahria Town Lahore,PKR 3.3 Crore,"Bahria Town - Ghouri Block, Bahria Town - Sector B",10 Marla,5,6,https://www.zameen.com/Property/bahria_town_sector_b_bahria_town_-_ghouri_block_10_marla_house_for_sale_in_ghouri_block_bahria_town_lahore-49438144-1776-1.html
Modern Design 10 Marla Brand New House For Sale In Sector M2-A Lake City Raiwind Road Lahore,PKR 5.75 Crore,"Lake City, Raiwind Road",10 Marla,6,7,https://www.zameen.com/Property/raiwind_road_lake_city_modern_design_10_marla_brand_new_house_for_sale_in_sector_m2-a_lake_city_raiwind_road_lahore-52417267-1103-1.html
10 Marla Triple Storey House For Sale In Engineers Town,PKR 3.5 Crore,"IEP Engineers Town - Sector A, IEP Engineers Town",10 Marla,6,7,https://www.zameen.com/Property/iep_engineers_town_iep_engineers_town_-_sector_a_10_marla_triple_storey_house_for_sale_in_engineers_town-52271818-614-1.html
5 MARLA PRIME LOCATION BRAND NEW HOUSE FOR SALE IN DHA RAHBAR BLOCK M,PKR 2 Crore,"DHA 11 Rahbar Phase 2, DHA 11 Rahbar",5 Marla,3,4,https://www.zameen.com/Property/dha_11_rahbar_dha_11_rahbar_phase_2_5_marla_prime_location_brand_new_house_for_sale_in_dha_rahbar_block_m-49720625-3717-1.html
5 Marla Brand New House Available For Sale In Dha 11 Rahbar,PKR 2.05 Crore,"DHA 11 Rahbar Phase 2, DHA 11 Rahbar",5 Marla,3,3,https://www.zameen.com/Property/dha_11_rahbar_dha_11_rahbar_phase_2_5_marla_brand_new_house_available_for_sale_in_dha_11_rahbar-49133707-3717-1.html
